Pais	Codigo_Pais	Codigo_Ingresos	Codigo_Region	PBIpc	cPBIr 	VTCR	DPBI	CCPBI	RaImp	DTEEx	DTEPBI	SDTEx	DPPGEx	DPPGPBI	SDPPGEx	BPGPBI	EP2007	EG2007	CR2007	CC2007
Maldives	MDV	4	6	0.0665	0.1173	0.0193	0.0102	-0.1444	0.0562	0.0237	0.0704	0.0308	0.0241	0.0748	0.0435	-0.1622	0.0107	-0.0018	-0.006	-0.115
Mali	MLI	3	7	0.0152	0.0942	-0.0782	0.0282	-0.0956	0.0973	0.1097	0.1121	0.0425	0.1246	0.1326	0.0569	0.052	-0.0111	-0.0855	-0.0465	-0.0552
Mauritius	MUS	5	7	0.1603	0.0736	-0.0393	0.0515	-0.0147	0.0868	0.0108	0.0235	0.0441	0.012	0.0272	0.061	-0.0359	0.0804	0.0712	0.0871	0.0599
Mexico	MEX	5	3	0.19	0.0519	-0.0081	0.0597	-0.0106	0.0595	0.0355	0.0351	0.1345	0.026	0.0267	0.1093	0.0275	-0.056	0.0182	0.0604	-0.0473
Moldova	MDA	4	2	0.0345	0.0986	-0.1195	0.11	-0.0811	0.0507	0.0794	0.1432	0.0883	0.0399	0.0756	0.0589	0.0611	-0.0253	-0.1207	-0.0459	-0.0925
Mongolia	MNG	4	1	0.0395	0.1129	-0.0411	0.1272	-0.0611	0.073	0.0484	0.1037	0.0495	0.057	0.1273	0.0764	-0.0247	0.0731	-0.1017	-0.0523	-0.0845
Morocco	MAR	4	4	0.0545	0.0806	-0.0773	0.0092	0.0224	0.163	0.0533	0.058	0.1062	0.0526	0.0596	0.1668	0.0385	-0.048	-0.017	-0.0176	-0.0362
Mozambique	MOZ	3	7	0.0101	0.1309	-0.0312	0.0739	-0.159	0.0855	0.1548	0.1409	0.0337	0.1273	0.1233	0.0294	-0.0838	0.0273	-0.0602	-0.068	-0.0858
Nepal	NPL	3	6	0.0152	0.0652	-0.072	0.0472	0.0174	0.1434	0.1154	0.0697	0.036	0.1387	0.0875	0.0828	-0.0341	-0.2104	-0.1127	-0.099	-0.088
Nicaragua	NIC	4	3	0.0362	0.06	-0.0027	0.0759	-0.1932	0.0481	0.2144	0.1945	0.0732	0.2148	0.202	0.0777	-0.1267	-0.0209	-0.1299	-0.062	-0.1085
Niger	NER	3	7	0.0095	0.0626	-0.1226	0.0273	-0.0921	0.0673	0.208	0.1012	0.0577	0.2292	0.1162	0.0492	0.0927	-0.0752	-0.1256	-0.0854	-0.1227
Nigeria	NGA	4	7	0.0264	0.1066	-0.1144	0.1695	0.1998	0.1617	0.0392	0.0601	0.0493	0.0435	0.0697	0.0793	0.1624	-0.2337	-0.1431	-0.142	-0.1412
Pakistan	PAK	4	6	0.0337	0.0897	-0.0764	0.0664	-0.0054	0.0942	0.1083	0.0585	0.104	0.114	0.0643	0.1327	0.026	-0.2678	-0.0871	-0.0856	-0.1137
Panama	PAN	5	3	0.1439	0.0969	0.0235	0.0147	-0.057	0.0231	0.0369	0.0949	0.087	0.0373	0.1002	0.1094	0.0338	0.0172	0.0206	0.0593	-0.0548
Papua New Guinea	PNG	4	1	0.0303	0.0322	-0.0243	0.0725	0.076	0.0485	0.0381	0.0945	0.0843	0.0269	0.0693	0.0626	0.0316	-0.0788	-0.1118	-0.0778	-0.1481
Paraguay	PRY	4	3	0.0626	0.0448	0.0021	0.083	0.0157	0.0678	0.0444	0.0712	0.066	0.037	0.0617	0.0677	0.0234	-0.0498	-0.1135	-0.0876	-0.136
Peru	PER	5	3	0.0987	0.0884	-0.0233	0.0246	-0.0087	0.1795	0.0977	0.0668	0.1443	0.0875	0.0628	0.1958	0.033	-0.0803	-0.066	0.0302	-0.0423
