anio;mes;mes-año;provincia;rubro_A12;operaciones
2019;1;ene-19;MENDOZA;Motos y Bicicletas; 2.040 
2019;1;ene-19;MENDOZA;Muebles; 1.348 
2019;1;ene-19;MENDOZA;Teléfonos Celulares 4G; 651 
2019;1;ene-19;MENDOZA;Turismo; 1.101 
2019;1;ene-19;MISIONES;Anteojos; 587 
2019;1;ene-19;MISIONES;Artículos de Librería; 31 
2019;1;ene-19;MISIONES;Balnearios; 10 
2019;1;ene-19;MISIONES;Bicicletas; 28 
2019;1;ene-19;MISIONES;Calzado y Marroquinería; 2.080 
2019;1;ene-19;MISIONES;Colchones; 230 
2019;1;ene-19;MISIONES;Electrodomésticos; 2.063 
2019;1;ene-19;MISIONES;Indumentaria; 5.246 
2019;1;ene-19;MISIONES;Instrumentos musicales; 11 
2019;1;ene-19;MISIONES;Juguetes y Juegos de mesa; 222 
2019;1;ene-19;MISIONES;Libros; 44 
2019;1;ene-19;MISIONES;Materiales para la construcción; 913 
2019;1;ene-19;MISIONES;Motocicletas; 4 
2019;1;ene-19;MISIONES;Motos y Bicicletas; 515 
2019;1;ene-19;MISIONES;Muebles; 837 
2019;1;ene-19;MISIONES;Sin clasificar; 1 
2019;1;ene-19;MISIONES;Teléfonos Celulares 4G; 165 
2019;1;ene-19;MISIONES;Turismo; 320 
2019;1;ene-19;NEUQUEN;Anteojos; 406 
2019;1;ene-19;NEUQUEN;Artículos de Librería; 63 
2019;1;ene-19;NEUQUEN;Balnearios; 51 
2019;1;ene-19;NEUQUEN;Bicicletas; 101 
2019;1;ene-19;NEUQUEN;Calzado y Marroquinería; 3.534 
2019;1;ene-19;NEUQUEN;Colchones; 129 
2019;1;ene-19;NEUQUEN;Electrodomésticos; 1.003 
2019;1;ene-19;NEUQUEN;Indumentaria; 18.420 
2019;1;ene-19;NEUQUEN;Instrumentos musicales; 56 
2019;1;ene-19;NEUQUEN;Juguetes y Juegos de mesa; 1.024 
2019;1;ene-19;NEUQUEN;Libros; 5 
2019;1;ene-19;NEUQUEN;Materiales para la construcción; 1.670 
